"","mean_country1","mean_country2","lower_bound","upper_bound"
"Production-based CO2 emissions",393.8025,270.814166666667,99.5618431646437,146.414823502023
"Demand-based CO2 emissions",508.300833333333,318.333333333333,156.833055882745,223.101944117256
"Renewable electricity, % total electricity generation",24.7179166666667,24.7366666666667,-5.18531092555962,5.14781092555962
"Real GDP per capita",38649.0483333333,33690.0541666667,3619.6683431678,6298.31999016553
