"","mean_country1","mean_country2","t_statistic","p_value"
"Production-based CO2 emissions",393.8025,270.814166666667,10.2897490027813,3.66329329981729e-13
"Demand-based CO2 emissions",508.300833333333,318.333333333333,11.2369308781979,1.01271239212906e-14
"Renewable electricity, % total electricity generation",24.7179166666667,24.7366666666667,-0.00711291809766995,0.99435553648921
"Real GDP per capita",38649.0483333333,33690.0541666667,7.25697197476539,1.49072766106314e-08
