"","V1","V2"
"x",375.156429314408,412.448570685592
"x",374.122375093412,413.482624906588
"x",1269.16321234295,4028.61327973619
"x",1312.11071380402,4274.21966223492
"x",483.704906124738,532.896760541929
"x",482.340891004437,534.26077566223
"x",2208.35668837307,7009.82741593202
"x",2283.08577063615,7437.18497894939
"x",21.021211667743,28.4146216655903
"x",20.816203681215,28.6196296521184
"x",49.8852797820254,158.347246940937
"x",51.5733590656733,168.000964436091
"x",37995.4346252781,39302.6620413886
"x",37959.1872021554,39338.9094645112
"x",1559499.09349696,4950205.53440114
"x",1612271.33661363,5251997.24025807
