"","V1","V2"
"x",256.632330057411,284.996003275922
"x",255.845848645078,285.782484688255
"x",734.188838310652,2330.48269528091
"x",759.033220734749,2472.5617146653
"x",296.131266949571,340.535399717096
"x",294.900008050789,341.766658615878
"x",1799.40787346448,5711.73067750566
"x",1860.29844413585,6059.94913683642
"x",21.1272728188783,28.346060514455
"x",20.9271068425461,28.5462264907872
"x",47.5566626919295,150.955685602453
"x",49.1659433743364,160.158772938962
"x",69.2311188414332,81.0747144919002
"x",68.902713991944,81.4031193413893
"x",128.01179137079,406.338599845762
"x",132.343611379015,431.111231679079
"x",32521.044850137,34859.0634831963
"x",32456.215158213,34923.8931751204
"x",4988600.97647576,15834956.4072493
"x",5157411.37504565,16800342.2832707
